name,category,address,lat,lon,elevation_m
별마로천문대,observatory,강원특별자치도 영월군 영월읍 봉래산길 136,37.171389,128.478889,799
국립영천보현산천문과학관,observatory,경상북도 영천시 화북면 별별로 587,36.164722,128.976389,1124
소백산천문대,observatory,충청북도 단양군 단양읍 소백산등산로 5-45,36.934722,128.457222,1394
국립횡성숲체원,campsite,강원특별자치도 횡성군 둔내면 청태산로 777,37.499722,128.213611,850
안성맞춤천문과학관,observatory,경기도 안성시 보개면 남사당로 198-2,37.019167,127.246389,120
김해천문대,observatory,경상남도 김해시 가야테마길 254,35.242222,128.860278,382
대전시민천문대,observatory,대전광역시 유성구 과학로 213-48,36.402778,127.375278,80
보현산댐출렁다리,viewpoint,경상북도 영천시 화북면 자천리,36.116111,128.918889,320
지리산노고단,viewpoint,전라남도 구례군 산동면 노고단로 1068,35.283056,127.505556,1440
덕유산향적봉,viewpoint,전라북도 무주군 설천면 만선동로,35.860278,127.746944,1614
소백산자락길죽령,viewpoint,충청북도 단양군 대강면 죽령로,36.919444,128.446389,689
태백산천제단,viewpoint,강원특별자치도 태백시 소도동,37.096389,128.915278,1560
운문산자연휴양림,campsite,경상북도 청도군 운문면 운문로 763,35.680833,128.945556,340
방태산자연휴양림,campsite,강원특별자치도 인제군 기린면 방태산길 377,37.955556,128.373611,650
자연휴양림용대,campsite,강원특별자치도 인제군 북면 미시령로 1719,38.183889,128.376389,420
민둥산,viewpoint,강원특별자치도 정선군 남면 무릉리,37.263889,128.612500,1119
치악산구룡사,viewpoint,강원특별자치도 원주시 소초면 구룡사로 500,37.383056,128.055278,340
청옥산육백마지기,viewpoint,강원특별자치도 평창군 미탄면 회동리,37.316389,128.605556,1256
안반데기,viewpoint,강원특별자치도 강릉시 왕산면 안반데기길,37.601111,128.750278,1100
곰배령,viewpoint,강원특별자치도 인제군 기린면 곰배령길,37.983333,128.398611,1164
무주덕유산자연휴양림,campsite,전라북도 무주군 무풍면 덕유산로 1493,35.842778,127.808611,720
가리왕산자연휴양림,campsite,강원특별자치도 정선군 정선읍 가리왕산로 707,37.462500,128.575000,880
설악산오색,viewpoint,강원특별자치도 양양군 서면 대청봉길,38.119167,128.465278,500
한라산성판악,viewpoint,제주특별자치도 제주시 조천읍 516로 1865,33.385278,126.612222,750
성산일출봉,viewpoint,제주특별자치도 서귀포시 성산읍 성산리,33.458056,126.942778,180
정남진천문과학관,observatory,전라남도 장흥군 장흥읍 갈두산길 90,34.633889,126.926111,80
곡성섬진강천문대,observatory,전라남도 곡성군 오곡면 섬진강로 1234,35.221667,127.316667,90
울진금강송에코리움,campsite,경상북도 울진군 금강송면 삽재길 100,36.980556,129.213889,320
가야산해인사,viewpoint,경상남도 합천군 가야면 해인사길 122,35.801389,128.097778,650
백령도두무진,viewpoint,인천광역시 옹진군 백령면 연화리,37.978611,124.652778,40
